,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.5,8.918,8.784,8.655,8.531,8.411,8.296,8.184,8.077,7.973,7.873,7.776,7.683,7.592,7.504,7.419,7.338,7.26,7.184,7.111,7.039,6.97,6.902,6.836,6.772,6.71,6.649,6.59,6.533,6.476,6.422,6.368,6.316,6.265,6.215,6.166,6.119,6.072,6.027,5.982,5.939,5.896,5.855,5.814,5.774,5.735,5.696,5.659,5.622,5.586,5.55
1.5,7.554,7.439,7.329,7.222,7.12,7.021,6.926,6.835,6.746,6.661,6.578,6.498,6.42,6.345,6.273,6.203,6.136,6.071,6.008,5.947,5.888,5.83,5.773,5.719,5.665,5.613,5.563,5.513,5.465,5.418,5.372,5.328,5.284,5.242,5.2,5.159,5.12,5.081,5.043,5.006,4.969,4.934,4.899,4.864,4.831,4.798,4.766,4.735,4.704,4.674
2.5,6.872,6.767,6.667,6.57,6.477,6.387,6.3,6.216,6.136,6.058,5.982,5.909,5.839,5.77,5.704,5.64,5.579,5.52,5.463,5.407,5.353,5.3,5.248,5.198,5.15,5.102,5.056,5.011,4.967,4.924,4.883,4.842,4.802,4.763,4.725,4.688,4.652,4.616,4.582,4.548,4.515,4.482,4.45,4.419,4.389,4.359,4.329,4.301,4.273,4.245
3.5,6.599,6.499,6.402,6.309,6.22,6.134,6.05,5.97,5.893,5.818,5.745,5.675,5.608,5.542,5.478,5.417,5.359,5.302,5.247,5.193,5.141,5.09,5.041,4.993,4.946,4.901,4.857,4.813,4.771,4.73,4.69,4.651,4.613,4.575,4.539,4.503,4.468,4.434,4.401,4.369,4.337,4.305,4.275,4.245,4.216,4.187,4.159,4.131,4.104,4.077
4.5,6.473,6.375,6.28,6.189,6.101,6.017,5.935,5.857,5.781,5.707,5.637,5.568,5.502,5.437,5.375,5.315,5.258,5.202,5.148,5.096,5.045,4.995,4.947,4.9,4.854,4.809,4.766,4.723,4.682,4.642,4.602,4.564,4.527,4.49,4.454,4.419,4.385,4.352,4.319,4.287,4.256,4.225,4.195,4.166,4.137,4.109,4.081,4.054,4.028,4.002
5.5,6.464,6.366,6.272,6.181,6.094,6.009,5.928,5.85,5.774,5.701,5.63,5.561,5.495,5.431,5.369,5.309,5.252,5.197,5.143,5.09,5.039,4.99,4.942,4.895,4.849,4.804,4.761,4.719,4.678,4.637,4.598,4.56,4.522,4.486,4.45,4.415,4.381,4.348,4.315,4.283,4.252,4.222,4.192,4.162,4.134,4.106,4.078,4.051,4.024,3.998
6.5,6.563,6.463,6.368,6.276,6.187,6.102,6.019,5.94,5.863,5.789,5.717,5.648,5.58,5.515,5.452,5.392,5.334,5.277,5.223,5.169,5.118,5.067,5.019,4.971,4.925,4.879,4.835,4.792,4.751,4.71,4.67,4.631,4.593,4.556,4.52,4.485,4.45,4.416,4.383,4.351,4.319,4.288,4.258,4.228,4.199,4.17,4.142,4.115,4.088,4.061
7.5,6.724,6.623,6.525,6.431,6.341,6.253,6.169,6.088,6.009,5.933,5.86,5.789,5.72,5.654,5.589,5.527,5.468,5.41,5.354,5.3,5.247,5.196,5.146,5.097,5.049,5.003,4.958,4.914,4.871,4.83,4.789,4.749,4.71,4.672,4.635,4.599,4.564,4.529,4.495,4.462,4.43,4.398,4.367,4.337,4.307,4.277,4.249,4.221,4.193,4.166
8.5,6.945,6.84,6.739,6.643,6.549,6.459,6.372,6.289,6.208,6.129,6.054,5.981,5.91,5.841,5.775,5.711,5.65,5.59,5.532,5.476,5.422,5.369,5.317,5.267,5.218,5.17,5.124,5.078,5.034,4.991,4.949,4.908,4.868,4.829,4.791,4.753,4.717,4.681,4.646,4.612,4.578,4.546,4.514,4.482,4.451,4.421,4.392,4.363,4.334,4.306
9.5,7.262,7.153,7.048,6.947,6.85,6.756,6.665,6.578,6.494,6.412,6.333,6.257,6.183,6.112,6.042,5.976,5.912,5.849,5.789,5.73,5.673,5.618,5.564,5.511,5.46,5.41,5.362,5.314,5.268,5.223,5.179,5.136,5.094,5.053,5.013,4.974,4.936,4.899,4.862,4.827,4.792,4.757,4.724,4.691,4.659,4.627,4.596,4.566,4.536,4.507
10.5,7.757,7.641,7.529,7.421,7.317,7.217,7.121,7.028,6.938,6.851,6.767,6.685,6.606,6.53,6.456,6.385,6.317,6.25,6.186,6.123,6.062,6.003,5.945,5.889,5.835,5.781,5.729,5.679,5.63,5.582,5.535,5.489,5.444,5.401,5.358,5.316,5.275,5.236,5.197,5.158,5.121,5.085,5.049,5.014,4.979,4.946,4.913,4.881,4.849,4.818
11.5,8.351,8.226,8.105,7.989,7.877,7.769,7.665,7.565,7.468,7.374,7.284,7.196,7.111,7.029,6.949,6.873,6.799,6.728,6.658,6.591,6.525,6.462,6.4,6.339,6.281,6.223,6.167,6.113,6.06,6.008,5.958,5.909,5.861,5.814,5.768,5.723,5.679,5.636,5.594,5.553,5.513,5.474,5.436,5.398,5.361,5.325,5.289,5.255,5.221,5.187
12.5,8.939,8.805,8.675,8.551,8.431,8.316,8.204,8.096,7.992,7.892,7.795,7.701,7.61,7.522,7.437,7.355,7.276,7.2,7.126,7.054,6.983,6.915,6.849,6.784,6.722,6.66,6.601,6.543,6.486,6.431,6.377,6.324,6.273,6.223,6.174,6.126,6.079,6.033,5.988,5.944,5.902,5.86,5.818,5.778,5.739,5.7,5.662,5.625,5.589,5.553
13.5,9.406,9.265,9.129,8.998,8.872,8.75,8.633,8.519,8.41,8.304,8.202,8.103,8.008,7.915,7.825,7.739,7.657,7.576,7.498,7.422,7.348,7.277,7.207,7.139,7.073,7.009,6.946,6.885,6.825,6.767,6.71,6.655,6.601,6.548,6.497,6.446,6.397,6.349,6.302,6.256,6.211,6.166,6.123,6.081,6.039,5.999,5.959,5.92,5.882,5.844
14.5,9.738,9.592,9.45,9.315,9.184,9.058,8.936,8.819,8.705,8.596,8.49,8.388,8.289,8.193,8.1,8.01,7.925,7.841,7.761,7.682,7.606,7.531,7.459,7.389,7.32,7.254,7.189,7.125,7.064,7.003,6.945,6.887,6.832,6.777,6.723,6.671,6.62,6.57,6.522,6.474,6.427,6.382,6.337,6.293,6.25,6.208,6.167,6.127,6.087,6.048
15.5,9.91,9.761,9.617,9.479,9.345,9.217,9.093,8.974,8.858,8.747,8.639,8.535,8.434,8.336,8.242,8.151,8.063,7.979,7.896,7.816,7.738,7.663,7.589,7.518,7.448,7.38,7.314,7.25,7.187,7.126,7.066,7.007,6.95,6.895,6.84,6.787,6.736,6.685,6.635,6.587,6.539,6.493,6.447,6.403,6.359,6.316,6.274,6.233,6.193,6.153
16.5,10.045,9.893,9.747,9.607,9.472,9.342,9.216,9.095,8.978,8.865,8.755,8.65,8.548,8.448,8.353,8.26,8.172,8.086,8.002,7.921,7.842,7.766,7.691,7.618,7.548,7.479,7.412,7.346,7.283,7.221,7.16,7.101,7.043,6.987,6.932,6.878,6.825,6.774,6.724,6.674,6.626,6.579,6.533,6.488,6.444,6.4,6.358,6.316,6.275,6.235
17.5,10.159,10.005,9.858,9.716,9.579,9.447,9.32,9.198,9.079,8.965,8.854,8.747,8.644,8.544,8.447,8.353,8.264,8.176,8.092,8.01,7.93,7.852,7.777,7.703,7.632,7.562,7.494,7.428,7.364,7.301,7.24,7.18,7.121,7.064,7.008,6.954,6.901,6.849,6.798,6.748,6.699,6.652,6.605,6.559,6.515,6.471,6.428,6.386,6.344,6.304
18.5,10.192,10.038,9.89,9.748,9.61,9.478,9.35,9.227,9.108,8.994,8.883,8.775,8.672,8.571,8.474,8.38,8.29,8.202,8.118,8.035,7.955,7.877,7.801,7.728,7.656,7.586,7.518,7.452,7.387,7.324,7.262,7.202,7.144,7.086,7.031,6.976,6.923,6.87,6.819,6.769,6.72,6.673,6.626,6.58,6.535,6.491,6.448,6.406,6.364,6.323
19.5,10.176,10.022,9.875,9.732,9.595,9.463,9.336,9.213,9.094,8.98,8.869,8.762,8.658,8.558,8.46,8.367,8.277,8.19,8.105,8.023,7.943,7.866,7.79,7.716,7.645,7.575,7.507,7.441,7.376,7.314,7.252,7.192,7.134,7.077,7.021,6.966,6.913,6.861,6.81,6.76,6.711,6.664,6.617,6.571,6.526,6.482,6.439,6.397,6.356,6.315
