,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.5,7.565,7.516,7.469,7.423,7.378,7.334,7.29,7.245,7.199,7.152,7.104,7.055,7.004,6.952,6.898,6.843,6.788,6.735,6.683,6.632,6.583,6.534,6.486,6.44,6.394,6.349,6.305,6.262,6.22,6.178,6.137,6.097,6.058,6.019,5.981,5.944,5.908,5.872,5.836,5.801,5.767,5.733,5.7,5.668,5.636,5.604,5.573,5.542,5.512,5.482
1.5,6.378,6.333,6.289,6.247,6.207,6.166,6.126,6.085,6.045,6.003,5.961,5.918,5.874,5.828,5.782,5.735,5.689,5.643,5.599,5.556,5.513,5.472,5.431,5.391,5.352,5.313,5.276,5.239,5.203,5.167,5.132,5.098,5.065,5.032,4.999,4.967,4.936,4.905,4.875,4.845,4.816,4.787,4.759,4.731,4.704,4.677,4.65,4.624,4.598,4.573
2.5,5.776,5.733,5.691,5.652,5.613,5.575,5.537,5.499,5.461,5.422,5.383,5.343,5.303,5.262,5.219,5.177,5.134,5.093,5.053,5.013,4.975,4.937,4.9,4.863,4.828,4.793,4.759,4.725,4.692,4.66,4.628,4.597,4.567,4.537,4.507,4.478,4.45,4.422,4.394,4.367,4.341,4.314,4.289,4.263,4.238,4.214,4.19,4.166,4.142,4.119
3.5,5.52,5.478,5.438,5.4,5.362,5.326,5.289,5.253,5.216,5.179,5.141,5.103,5.064,5.025,4.984,4.944,4.903,4.864,4.825,4.788,4.751,4.715,4.679,4.644,4.61,4.577,4.544,4.512,4.481,4.45,4.42,4.39,4.361,4.332,4.304,4.276,4.249,4.223,4.196,4.17,4.145,4.12,4.095,4.071,4.047,4.024,4.001,3.978,3.956,3.934
4.5,5.399,5.358,5.319,5.282,5.245,5.209,5.174,5.138,5.102,5.066,5.029,4.992,4.954,4.915,4.876,4.836,4.797,4.758,4.721,4.684,4.648,4.612,4.578,4.544,4.511,4.478,4.446,4.415,4.384,4.354,4.324,4.295,4.267,4.239,4.211,4.184,4.158,4.132,4.106,4.081,4.056,4.031,4.007,3.984,3.96,3.938,3.915,3.893,3.871,3.849
5.5,5.393,5.353,5.314,5.277,5.241,5.206,5.17,5.135,5.099,5.063,5.027,4.99,4.952,4.913,4.874,4.834,4.795,4.756,4.719,4.682,4.646,4.611,4.576,4.542,4.509,4.477,4.445,4.414,4.383,4.353,4.323,4.294,4.266,4.238,4.21,4.183,4.157,4.131,4.105,4.08,4.055,4.031,4.007,3.983,3.96,3.937,3.915,3.893,3.871,3.849
6.5,5.478,5.437,5.399,5.361,5.325,5.289,5.254,5.218,5.182,5.146,5.109,5.072,5.033,4.994,4.954,4.914,4.874,4.835,4.797,4.76,4.723,4.687,4.652,4.618,4.584,4.552,4.519,4.488,4.456,4.426,4.396,4.367,4.338,4.309,4.281,4.254,4.227,4.201,4.175,4.149,4.124,4.099,4.075,4.051,4.028,4.004,3.982,3.959,3.937,3.915
7.5,5.62,5.579,5.541,5.503,5.467,5.431,5.395,5.359,5.323,5.286,5.248,5.21,5.171,5.131,5.09,5.049,5.008,4.968,4.929,4.891,4.854,4.817,4.781,4.746,4.711,4.678,4.645,4.612,4.58,4.549,4.518,4.488,4.459,4.43,4.401,4.373,4.345,4.318,4.292,4.266,4.24,4.214,4.19,4.165,4.141,4.117,4.094,4.071,4.048,4.026
8.5,5.811,5.77,5.731,5.693,5.656,5.619,5.583,5.546,5.509,5.472,5.433,5.394,5.354,5.313,5.271,5.228,5.186,5.145,5.104,5.065,5.026,4.988,4.951,4.915,4.88,4.845,4.811,4.777,4.744,4.712,4.68,4.649,4.619,4.589,4.559,4.53,4.502,4.474,4.446,4.419,4.393,4.366,4.341,4.315,4.29,4.266,4.242,4.218,4.194,4.171
9.5,6.095,6.053,6.013,5.975,5.937,5.9,5.862,5.825,5.786,5.748,5.708,5.667,5.625,5.583,5.539,5.494,5.45,5.406,5.364,5.323,5.282,5.243,5.204,5.166,5.129,5.092,5.056,5.021,4.987,4.953,4.92,4.887,4.855,4.824,4.793,4.762,4.733,4.703,4.674,4.646,4.618,4.591,4.564,4.537,4.511,4.486,4.46,4.435,4.411,4.386
10.5,6.558,6.514,6.472,6.431,6.391,6.351,6.312,6.272,6.231,6.19,6.147,6.104,6.059,6.013,5.966,5.918,5.87,5.824,5.778,5.734,5.69,5.647,5.606,5.565,5.525,5.485,5.447,5.409,5.372,5.336,5.3,5.265,5.231,5.197,5.164,5.131,5.099,5.067,5.036,5.006,4.976,4.946,4.917,4.889,4.861,4.833,4.806,4.779,4.753,4.727
11.5,7.112,7.065,7.02,6.976,6.933,6.891,6.848,6.805,6.762,6.717,6.671,6.624,6.576,6.526,6.475,6.423,6.371,6.321,6.271,6.223,6.176,6.13,6.084,6.04,5.997,5.954,5.912,5.871,5.831,5.791,5.753,5.715,5.677,5.641,5.605,5.569,5.534,5.5,5.467,5.434,5.401,5.369,5.338,5.307,5.276,5.246,5.216,5.187,5.159,5.13
12.5,7.647,7.597,7.55,7.503,7.458,7.413,7.368,7.322,7.275,7.228,7.179,7.129,7.077,7.023,6.968,6.912,6.857,6.803,6.75,6.698,6.647,6.597,6.549,6.501,6.454,6.408,6.364,6.32,6.276,6.234,6.192,6.151,6.111,6.072,6.033,5.995,5.958,5.921,5.885,5.849,5.814,5.78,5.746,5.713,5.68,5.648,5.616,5.585,5.554,5.523
13.5,8.081,8.029,7.979,7.93,7.883,7.835,7.788,7.74,7.691,7.64,7.589,7.536,7.481,7.425,7.367,7.308,7.249,7.192,7.136,7.081,7.028,6.975,6.924,6.873,6.824,6.776,6.728,6.682,6.636,6.591,6.547,6.504,6.462,6.42,6.379,6.339,6.3,6.261,6.223,6.185,6.148,6.112,6.076,6.041,6.006,5.972,5.938,5.905,5.873,5.841
14.5,8.399,8.344,8.292,8.242,8.192,8.143,8.093,8.043,7.992,7.94,7.886,7.831,7.774,7.715,7.655,7.594,7.533,7.473,7.415,7.358,7.302,7.248,7.194,7.142,7.091,7.04,6.991,6.943,6.895,6.849,6.803,6.758,6.714,6.671,6.628,6.586,6.545,6.505,6.465,6.426,6.388,6.35,6.313,6.276,6.24,6.205,6.17,6.136,6.102,6.068
15.5,8.572,8.515,8.462,8.41,8.359,8.309,8.258,8.207,8.154,8.101,8.046,7.99,7.932,7.872,7.81,7.747,7.685,7.624,7.565,7.507,7.45,7.394,7.339,7.286,7.234,7.182,7.132,7.082,7.034,6.986,6.94,6.894,6.849,6.805,6.761,6.719,6.677,6.635,6.595,6.555,6.516,6.477,6.439,6.402,6.365,6.329,6.293,6.258,6.224,6.19
16.5,8.718,8.661,8.606,8.553,8.501,8.45,8.398,8.346,8.293,8.238,8.182,8.125,8.066,8.005,7.942,7.878,7.815,7.753,7.693,7.634,7.576,7.519,7.464,7.409,7.356,7.304,7.252,7.202,7.153,7.105,7.057,7.01,6.965,6.92,6.876,6.832,6.789,6.748,6.706,6.666,6.626,6.587,6.548,6.51,6.473,6.436,6.399,6.364,6.329,6.294
17.5,8.838,8.781,8.726,8.673,8.621,8.57,8.518,8.465,8.412,8.357,8.3,8.243,8.183,8.121,8.058,7.993,7.929,7.866,7.805,7.745,7.687,7.629,7.573,7.518,7.464,7.411,7.359,7.308,7.259,7.21,7.162,7.114,7.068,7.022,6.978,6.934,6.891,6.848,6.806,6.765,6.725,6.685,6.646,6.608,6.57,6.532,6.496,6.46,6.424,6.389
