,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.5,9.115,8.961,8.813,8.673,8.539,8.411,8.288,8.17,8.057,7.948,7.844,7.743,7.646,7.552,7.462,7.375,7.29,7.209,7.13,7.053,6.979,6.907,6.837,6.769,6.703,6.639,6.577,6.516,6.457,6.399,6.343,6.288,6.235,6.183,6.132,6.082,6.034,5.987,5.94,5.895,5.851,5.807,5.765,5.723,5.683,5.643,5.604,5.566,5.528,5.492
1.5,7.475,7.349,7.228,7.113,7.003,6.898,6.797,6.7,6.608,6.519,6.433,6.35,6.271,6.194,6.12,6.048,5.979,5.912,5.848,5.785,5.724,5.665,5.608,5.552,5.498,5.445,5.394,5.344,5.296,5.249,5.203,5.158,5.114,5.071,5.03,4.989,4.949,4.91,4.873,4.835,4.799,4.764,4.729,4.695,4.662,4.629,4.597,4.566,4.535,4.505
2.5,6.684,6.571,6.463,6.36,6.262,6.168,6.077,5.991,5.908,5.829,5.752,5.678,5.607,5.538,5.472,5.408,5.346,5.287,5.229,5.173,5.118,5.065,5.014,4.964,4.916,4.869,4.823,4.779,4.735,4.693,4.652,4.612,4.573,4.535,4.498,4.461,4.426,4.391,4.357,4.324,4.292,4.26,4.229,4.198,4.169,4.139,4.111,4.083,4.055,4.029
3.5,6.378,6.27,6.167,6.069,5.975,5.885,5.799,5.717,5.638,5.562,5.488,5.418,5.35,5.285,5.222,5.161,5.102,5.044,4.989,4.936,4.884,4.833,4.784,4.737,4.691,4.646,4.602,4.56,4.519,4.478,4.439,4.401,4.364,4.327,4.292,4.257,4.223,4.19,4.158,4.126,4.095,4.065,4.035,4.006,3.978,3.95,3.923,3.896,3.87,3.844
4.5,6.241,6.135,6.035,5.939,5.847,5.759,5.675,5.594,5.517,5.442,5.371,5.302,5.236,5.172,5.11,5.05,4.992,4.936,4.882,4.83,4.779,4.73,4.682,4.636,4.59,4.547,4.504,4.462,4.422,4.383,4.344,4.307,4.27,4.235,4.2,4.166,4.133,4.1,4.069,4.038,4.008,3.978,3.949,3.921,3.893,3.866,3.839,3.813,3.787,3.762
5.5,6.237,6.131,6.031,5.935,5.843,5.755,5.671,5.59,5.513,5.439,5.367,5.298,5.232,5.168,5.106,5.047,4.989,4.933,4.879,4.827,4.776,4.727,4.679,4.632,4.587,4.544,4.501,4.459,4.419,4.38,4.341,4.304,4.267,4.232,4.197,4.163,4.13,4.098,4.066,4.035,4.005,3.975,3.946,3.918,3.89,3.863,3.836,3.81,3.785,3.76
6.5,6.354,6.247,6.144,6.046,5.953,5.863,5.778,5.696,5.617,5.541,5.468,5.398,5.33,5.265,5.202,5.141,5.083,5.026,4.971,4.917,4.866,4.815,4.767,4.72,4.674,4.629,4.585,4.543,4.502,4.462,4.423,4.385,4.348,4.311,4.276,4.241,4.208,4.175,4.142,4.111,4.08,4.05,4.02,3.991,3.963,3.935,3.908,3.882,3.856,3.83
7.5,6.546,6.435,6.33,6.229,6.133,6.04,5.952,5.868,5.786,5.708,5.633,5.561,5.491,5.424,5.359,5.297,5.236,5.178,5.121,5.066,5.013,4.961,4.911,4.862,4.815,4.769,4.724,4.68,4.638,4.597,4.556,4.517,4.479,4.441,4.405,4.369,4.335,4.301,4.267,4.235,4.203,4.172,4.142,4.112,4.083,4.054,4.026,3.999,3.972,3.946
8.5,6.802,6.687,6.577,6.473,6.373,6.277,6.185,6.097,6.013,5.932,5.854,5.779,5.706,5.637,5.569,5.504,5.441,5.38,5.321,5.264,5.209,5.155,5.103,5.052,5.003,4.955,4.909,4.863,4.819,4.776,4.735,4.694,4.654,4.615,4.577,4.54,4.504,4.469,4.434,4.401,4.368,4.335,4.304,4.273,4.242,4.213,4.184,4.155,4.127,4.1
9.5,7.173,7.051,6.935,6.825,6.719,6.618,6.522,6.429,6.34,6.254,6.172,6.093,6.017,5.943,5.872,5.803,5.737,5.673,5.611,5.55,5.492,5.435,5.38,5.327,5.275,5.225,5.176,5.128,5.081,5.036,4.992,4.949,4.907,4.866,4.826,4.787,4.749,4.712,4.675,4.64,4.605,4.571,4.537,4.505,4.473,4.442,4.411,4.381,4.351,4.323
10.5,7.747,7.615,7.49,7.371,7.257,7.148,7.044,6.944,6.847,6.755,6.666,6.581,6.498,6.419,6.342,6.268,6.196,6.127,6.06,5.995,5.931,5.87,5.811,5.753,5.697,5.643,5.59,5.538,5.488,5.439,5.391,5.345,5.299,5.255,5.212,5.17,5.129,5.088,5.049,5.011,4.973,4.936,4.9,4.865,4.831,4.797,4.764,4.731,4.699,4.668
11.5,8.421,8.279,8.143,8.013,7.889,7.771,7.657,7.548,7.444,7.343,7.247,7.154,7.064,6.978,6.894,6.814,6.736,6.66,6.587,6.517,6.448,6.381,6.317,6.254,6.193,6.134,6.076,6.02,5.966,5.912,5.861,5.81,5.761,5.713,5.666,5.62,5.575,5.531,5.489,5.447,5.406,5.366,5.327,5.288,5.251,5.214,5.178,5.143,5.108,5.074
12.5,9.085,8.931,8.785,8.645,8.511,8.383,8.261,8.143,8.031,7.922,7.818,7.718,7.621,7.528,7.438,7.351,7.267,7.185,7.107,7.03,6.956,6.884,6.815,6.747,6.681,6.617,6.555,6.495,6.436,6.378,6.322,6.268,6.215,6.163,6.112,6.063,6.014,5.967,5.921,5.876,5.832,5.789,5.746,5.705,5.664,5.625,5.586,5.548,5.51,5.474
13.5,9.62,9.457,9.302,9.154,9.012,8.877,8.747,8.623,8.504,8.389,8.279,8.172,8.07,7.971,7.876,7.784,7.695,7.608,7.525,7.444,7.366,7.29,7.216,7.144,7.075,7.007,6.941,6.877,6.815,6.754,6.695,6.637,6.58,6.525,6.472,6.419,6.368,6.318,6.269,6.222,6.175,6.129,6.084,6.041,5.998,5.956,5.914,5.874,5.834,5.796
