lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,12.895,12.435,12.575,12.411,12.353,11.985,11.884,11.868,12.103,11.387,11.649,11.41,11.045,11.147,11.035,11.24,11.144,10.833,11.141,10.938,10.784,10.647,10.644,10.395,10.658,10.596,10.551,10.43,10.276,10.128,10.09,10.279,9.984,10.107,10.254,9.989,9.668,9.835,9.603,9.737,9.799,9.685,9.476,9.584,9.41,9.627,9.728,9.39,9.514,9.35,1.49
1,11.658,11.755,11.246,11.558,11.489,10.972,11.093,10.85,10.906,10.615,10.56,10.472,10.613,10.249,10.218,9.957,10.372,10.461,9.811,10.055,9.618,9.784,9.894,9.781,9.817,9.435,9.532,9.534,9.686,9.455,9.46,9.573,9.149,9.152,8.872,9.212,9.074,9.18,9.078,9.157,8.981,8.924,8.947,8.754,9.008,8.939,8.566,8.539,8.736,8.637,1.356
2,10.745,10.733,10.544,10.629,10.586,10.818,10.097,10.256,10.176,9.807,9.867,9.85,10.182,9.755,9.685,9.412,9.634,9.679,9.193,9.437,9.082,9.011,9.219,9.365,9.188,8.86,8.953,9.106,8.864,8.718,8.565,8.589,8.747,8.892,8.622,8.76,8.561,8.546,8.596,8.498,8.545,8.807,8.343,8.476,8.312,8.349,8.166,8.302,8.159,8.047,1.255
3,10.498,10.283,10.219,10.262,10.439,10.062,9.92,9.92,10.042,9.847,9.779,9.543,9.5,9.409,9.353,9.003,9.125,9.151,9.021,9.191,8.784,9.004,8.799,9.116,8.828,8.871,8.531,8.726,8.644,8.515,8.487,8.56,8.655,8.502,8.236,8.624,8.344,8.496,8.301,8.223,8.35,8.299,7.922,7.994,8.058,8.181,8.041,8.013,8.035,7.934,1.264
4,10.432,10.246,10.235,10.304,10.177,9.92,9.733,9.292,9.446,9.66,9.43,9.489,9.328,9.249,8.94,9.415,9.209,9.324,9.226,9.118,9.097,9.027,8.738,8.61,8.747,8.698,8.982,8.666,8.564,8.467,8.546,8.442,8.325,8.376,8.291,8.137,8.056,8.377,8.295,8.163,8.128,8.194,8.335,8.062,8.169,7.98,8.065,7.691,7.902,7.835,1.295
5,10.186,10.543,9.95,10.099,9.951,9.893,10.159,9.975,9.546,9.714,9.434,9.596,9.184,9.221,9.103,9.354,9.007,9.208,8.847,8.777,8.901,8.947,8.698,8.843,8.717,8.741,8.707,8.676,8.614,8.809,8.479,8.352,8.304,8.56,8.209,7.891,8.325,8.329,8.111,8.378,8.001,8.176,8.229,8.062,8.219,8.059,7.989,7.965,7.764,7.761,1.277
6,10.618,10.257,10.367,10.258,10.112,10.145,10.142,9.807,9.799,9.851,9.797,9.884,9.244,9.023,9.36,9.256,9.464,9.134,9.41,9.094,9.057,8.941,8.936,8.674,8.856,9.059,8.687,8.566,8.626,8.688,8.742,8.586,8.59,8.582,8.741,8.494,8.046,8.362,8.385,8.383,8.192,8.172,8.402,8.226,8.109,8.235,8.098,8.017,8.209,7.887,1.31
7,10.957,10.315,10.341,10.275,10.407,10.038,9.959,10.02,9.742,10.009,9.645,9.619,9.572,9.475,9.552,9.75,9.381,9.511,9.047,9.306,9.093,8.979,8.981,8.747,9.184,9.06,8.93,8.868,8.803,8.708,8.758,8.589,8.752,8.678,8.333,8.32,8.447,8.218,8.26,8.317,8.382,8.23,8.274,8.39,8.353,8.191,8.193,7.851,8.124,7.974,1.305
8,11.036,10.763,10.981,10.588,10.536,10.432,10.739,10.322,10.185,10.073,9.606,10.126,10.182,9.522,9.583,9.448,9.442,9.517,9.484,9.482,9.615,9.555,9.53,9.546,8.919,9.122,9.144,9.226,9.311,8.5,8.904,9.239,8.864,8.908,8.891,8.742,8.46,8.402,8.543,8.612,8.559,8.812,8.525,8.226,8.363,8.254,8.275,8.315,7.886,8.134,1.261
9,11.453,10.937,11.062,10.818,10.74,10.373,10.496,10.539,10.661,10.518,10.28,10.065,10.108,10.299,9.923,9.713,9.764,9.625,9.729,9.664,9.572,9.619,9.595,9.398,9.408,9.206,9.008,9.291,9.098,9.07,9.258,9.078,9.023,9.114,8.921,8.998,8.903,8.756,8.786,8.519,8.961,8.943,8.778,8.654,8.604,8.427,8.106,8.452,8.142,8.341,1.325
10,11.764,11.609,11.55,11.338,11.057,11.098,10.901,11.031,11.001,10.947,10.655,10.473,10.408,10.298,10.192,10.246,9.881,10.221,10.085,10.044,9.934,10.022,10.102,9.738,9.737,9.995,9.445,9.935,9.58,9.575,9.566,9.315,9.321,9.451,9.216,9.0,9.098,9.408,8.924,8.908,8.974,9.013,9.1,8.658,8.857,9.084,9.127,8.831,8.8,8.759,1.427
11,12.212,12.092,11.994,11.711,11.741,11.608,11.793,11.366,11.242,11.314,11.44,10.981,11.17,10.998,10.767,10.507,10.778,10.634,10.539,10.481,10.212,10.008,10.224,10.157,10.189,10.239,9.942,9.974,10.222,10.22,9.569,9.846,10.019,9.521,10.03,9.644,9.675,9.547,9.292,9.503,9.176,9.398,9.159,9.467,9.038,9.242,9.015,9.131,8.969,9.009,1.4
12,12.771,12.693,12.763,12.328,12.169,12.174,11.786,12.044,11.612,11.794,11.69,11.49,11.343,11.188,11.153,11.082,11.582,10.86,10.903,10.897,11.154,10.736,10.679,10.473,10.483,10.707,10.237,10.333,10.438,10.326,10.173,10.302,10.253,10.082,10.08,10.107,9.833,9.925,9.742,10.101,9.737,10.115,9.727,9.698,9.415,9.546,9.601,9.742,9.378,9.517,1.46
