lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,4.607,5.287,5.505,5.917,6.157,6.447,6.661,7.124,7.834,7.708,8.042,8.571,8.762,8.939,9.136,9.577,9.831,10.268,10.802,10.792,11.432,11.706,11.994,11.785,12.299,12.403,13.074,12.862,13.393,13.541,13.243,13.927,13.495,13.526,13.925,13.858,13.702,13.627,13.773,13.694,13.563,13.17,12.785,12.275,11.906,11.186,10.264,9.579,8.585,7.594,6.588
1,4.372,5.098,5.336,5.571,5.786,6.208,6.339,6.65,6.908,7.066,7.502,7.903,8.08,8.52,8.752,9.137,9.161,9.697,9.843,10.219,10.323,10.752,10.71,11.008,11.492,11.362,11.627,12.19,12.518,12.208,12.407,12.456,12.473,12.677,12.968,13.119,12.755,12.836,12.826,12.211,12.205,11.897,11.811,11.301,10.68,10.019,9.619,8.933,7.919,7.039,6.053
2,4.32,4.784,5.226,5.562,5.822,6.033,6.23,6.431,6.94,7.192,7.68,7.763,8.059,8.199,8.712,8.953,9.003,9.517,9.532,9.771,10.277,10.579,10.858,10.731,10.978,10.988,11.415,11.61,11.889,11.921,12.396,11.825,12.244,12.438,11.854,12.207,11.863,12.303,12.185,11.966,11.687,11.349,11.103,10.826,10.205,9.829,9.152,8.511,7.483,6.803,5.826
3,4.477,4.98,5.228,5.545,5.764,5.692,6.311,6.421,6.896,6.942,7.398,7.761,7.996,8.261,8.716,8.744,8.796,9.355,9.697,9.813,10.248,10.314,10.64,10.693,10.731,11.311,11.059,11.2,11.562,11.566,11.691,12.052,12.228,12.186,12.209,12.069,12.479,11.96,11.969,11.455,11.662,11.27,10.788,10.512,10.062,9.462,8.572,8.295,7.319,6.658,5.644
4,4.362,4.968,5.416,5.653,5.848,6.12,6.25,6.576,6.926,7.21,7.561,7.755,8.051,8.435,8.421,8.806,9.112,9.495,9.719,9.744,10.179,10.526,10.464,10.569,11.093,11.104,11.28,11.427,11.521,11.641,11.549,11.831,11.794,12.119,11.648,11.789,11.562,11.756,11.76,11.18,11.109,10.969,10.621,10.268,9.81,9.336,8.825,7.835,7.258,6.453,5.506
5,4.467,4.873,5.257,5.534,5.789,6.182,6.194,6.517,7.009,7.194,7.341,7.511,7.957,8.297,8.492,9.01,8.998,9.209,9.667,9.618,10.115,10.322,10.675,10.547,10.917,10.909,11.118,11.364,11.563,11.535,11.55,11.526,11.85,11.533,12.312,11.868,12.199,11.809,11.775,11.215,11.302,10.99,10.55,10.302,9.658,8.994,8.597,7.943,7.045,6.468,5.516
6,4.311,5.091,5.27,5.683,5.754,6.097,6.212,6.632,6.882,7.227,7.766,7.87,8.161,8.322,8.851,8.975,8.81,9.502,9.728,10.206,10.183,10.369,10.345,11.011,11.086,11.214,11.061,11.453,11.466,11.299,11.566,11.674,12.012,12.041,11.781,11.99,11.602,11.609,11.765,11.046,11.585,10.743,10.401,10.365,9.997,9.228,8.444,8.316,7.331,6.358,5.396
7,4.462,5.06,5.437,5.622,5.981,6.161,6.21,6.599,7.098,7.482,7.63,7.871,8.181,8.333,8.741,8.889,9.236,9.502,10.039,10.262,10.101,10.552,10.867,11.161,11.102,11.326,10.969,11.537,11.66,12.017,11.989,11.897,11.718,12.198,11.88,12.312,11.747,12.057,12.121,11.501,11.29,10.77,10.606,10.214,10.011,9.544,8.661,7.938,7.405,6.456,5.524
8,4.568,5.165,5.509,5.939,6.066,6.105,6.733,6.91,7.14,7.482,7.658,8.164,8.498,8.939,9.122,9.118,9.737,9.828,9.993,10.339,10.218,10.926,11.329,10.669,11.243,11.555,11.84,11.503,11.8,11.564,11.576,11.915,12.397,11.98,12.077,11.843,12.244,12.032,12.012,11.767,11.554,11.513,10.746,10.441,10.063,9.47,8.851,8.152,7.548,6.503,5.55
